Unnamed: 0,Model,Accuracy,Precision,Recall,F1 Score,Topsis Score,Rank
0,RoBERTa,0.698,0.7062367156075267,0.698,0.6975048156526571,1.0,1
1,DistilBERT,0.647,0.6899858062453609,0.647,0.639661228784705,0.0,2
